city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,200,31,1,5750000
İzmir , Menemen , Villakent Mah.,6,2,500,20,0,9300000
İzmir , Karabağlar , Esenlik Mah.,2,1,85,27,4,1900000
İzmir , Menderes , Kemalpaşa Mah.,3,1,170,10,2,6000000
İzmir , Buca , Menderes Mah.,2,1,345,25,2,5750000
İzmir , Dikili , Gazipaşa Mah.,2,1,110,0,0,4500000
İzmir , Seferihisar , Çolak İbrahim Bey Mah.,2,1,130,4,4,3750000
İzmir , Bornova , İnönü Mah.,3,1,180,16,0,6250000
İzmir , Bornova , İnönü Mah.,3,1,110,16,1,3200000
İzmir , Bornova , Atatürk Mah.,2,1,90,0,0,5500000
İzmir , Bayraklı , Osmangazi Mah.,2,1,83,16,0,3400000
İzmir , Bayraklı , Osmangazi Mah.,2,1,83,16,2,3400000
İzmir , Karşıyaka , Bostanlı Mah.,3,1,90,31,2,9900000
İzmir , Karabağlar , Doğanay Mah.,3,1,160,8,5,6750000
İzmir , Dikili , Denizköy Mah.,3,2,320,25,0,9500000
İzmir , Karabağlar , Arap Hasan Mah.,2,1,100,40,5,3100000
İzmir , Konak , Göztepe Mah.,2,1,95,31,0,2595000
İzmir , Konak , Yenişehir Mah.,3,1,145,26,2,3490000
İzmir , Karabağlar , Üçkuyular Mah.,3,1,110,33,0,4000000
İzmir , Karşıyaka , Tuna Mah.,3,1,165,31,4,3000000
İzmir , Konak , Altıntaş Mah.,2,1,95,35,3,2050000
İzmir , Konak , Güzelyalı Mah.,3,1,125,31,3,4950000
İzmir , Karşıyaka , Örnekköy Mah.,3,1,125,4,6,5850000
İzmir , Karabağlar , Basın Sitesi Mah.,2,1,85,31,2,4350000
İzmir , Karabağlar , Basın Sitesi Mah.,2,1,90,35,4,3200000
İzmir , Torbalı , Atatürk Mah.,2,1,120,30,3,1750000
İzmir , Seferihisar , Camikebir Mah.,2,1,100,0,4,5700000
İzmir , Seferihisar , Camikebir Mah.,2,1,75,0,2,3600000
İzmir , Buca , Çamlık Mah.,2,1,95,5,2,3600000
İzmir , Çiğli , Yeni Mahalle Mah.,1,1,45,4,1,2550000
İzmir , Karşıyaka , Bahariye Mah.,3,1,140,26,3,5650000
İzmir , Buca , Buca Koop. Mah.,3,1,145,5,6,8350000
İzmir , Buca , Akıncılar Mah.,3,1,140,26,3,4000000
İzmir , Bornova , Atatürk Mah.,3,1,120,35,1,3950000
İzmir , Seferihisar , Camikebir Mah.,3,1,170,16,3,4000000
İzmir , Buca , Kozağaç Mah.,1,1,50,21,-1,1850000
İzmir , Karşıyaka , Demirköprü Mah.,3,1,119,25,7,4600000
İzmir , Konak , Murat Reis Mah.,3,1,110,31,2,2550000
İzmir , Bornova , Kazımdirik Mah.,3,1,110,40,3,4500000
İzmir , Bornova , Mevlana Mah.,2,1,88,4,2,4750000
İzmir , Buca , Vali Rahmi Bey Mah.,3,1,130,28,3,4200000
