city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Karaburun , Mordoğan Mah.,3,1,130,25,1,5500000
İzmir , Dikili , Çandarlı Mah.,3,1,190,6,0,15000000
İzmir , Kemalpaşa , Soğukpınar Mah.,2,1,90,10,3,3250000
İzmir , Karabağlar , Arap Hasan Mah.,3,1,120,35,0,2600000
İzmir , Menderes , Cüneytbey Mah.,2,1,85,0,3,6175000
İzmir , Çeşme , Reisdere Mah.,2,1,90,0,0,12500000
İzmir , Menderes , Orta Mah.,3,1,165,7,0,7000000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,1,1,55,0,3,4750000
İzmir , Aliağa , Siteler Mah.,3,1,130,11,6,5250000
İzmir , Torbalı , Tepeköy Mah.,2,1,110,0,2,3749000
İzmir , Konak , Atilla Mah.,1,1,45,1,1,2000000
İzmir , Karşıyaka , Demirköprü Mah.,2,1,80,0,1,4480000
İzmir , Karabağlar , Metin Oktay Mah.,2,1,105,10,1,4500000
İzmir , Seferihisar , Hıdırlık Mah.,1,1,65,4,1,2500000
İzmir , Bornova , Evka 3 Mah.,3,1,120,28,2,6500000
İzmir , Karabağlar , Tahsin Yazıcı Mah.,3,1,120,26,7,3650000
İzmir , Seferihisar , Cumhuriyet Mah.,2,1,110,1,0,8000000
İzmir , Karşıyaka , İnönü Mah.,1,1,50,10,5,3500000
İzmir , Buca , Fırat Mah.,2,1,125,28,7,3740000
İzmir , Konak , Kemal Reis Mah.,2,1,97,5,1,4200000
İzmir , Menderes , Cüneytbey Mah.,2,1,90,8,2,3000000
İzmir , Karşıyaka , Atakent Mah.,3,1,135,31,3,8500000
İzmir , Karşıyaka , İnönü Mah.,2,1,92,11,6,5750000
İzmir , Buca , Adatepe Mah.,2,1,90,8,3,2750000
İzmir , Konak , Güngör Mah.,3,1,120,30,2,3250000
İzmir , Karabağlar , Vatan Mah.,3,1,120,20,4,3500000
İzmir , Karşıyaka , Bostanlı Mah.,4,1,180,29,1,12500000
İzmir , Balçova , Fevzi Çakmak Mah.,3,1,120,26,1,3550000
İzmir , Dikili , Cumhuriyet Mah.,3,1,160,0,0,6000000
İzmir , Karabağlar , Fahrettin Altay Mah.,3,1,115,35,1,3150000
İzmir , Dikili , Çandarlı Mah.,2,1,88,25,0,5750000
İzmir , Urla , Bademler Mah.,3,1,186,1,0,12750000
İzmir , Kemalpaşa , Sütçüler Mah.,3,1,200,20,0,10800000
İzmir , Karşıyaka , Bahçelievler Mah.,2,1,95,31,1,3500000
İzmir , Bayraklı , Osmangazi Mah.,3,1,140,27,7,4400000
İzmir , Çiğli , Esentepe Mah.,3,1,140,7,3,5500000
İzmir , Buca , Hürriyet Mah.,2,1,70,0,3,3650000
İzmir , Kemalpaşa , Ören 75.yıl Cumhuriyet Mah.,3,1,137,17,3,2680000
İzmir , Buca , Hürriyet Mah.,2,1,85,0,3,3250000
İzmir , Karşıyaka , Aksoy Mah.,3,1,130,19,1,10500000
İzmir , Seferihisar , Bengiler Mah.,4,1,150,0,1,9000000
İzmir , Buca , Yaylacık Mah.,1,1,65,0,2,3250000
İzmir , Urla , Güvendik Mah.,3,1,150,34,0,15750000
İzmir , Buca , Buca Koop. Mah.,3,1,130,22,4,3950000
İzmir , Dikili , Salihler Mah.,3,1,100,25,0,5950000
İzmir , Gaziemir , Gazi Mah.,3,1,110,14,1,4800000
İzmir , Buca , Kuruçeşme Mah.,1,1,55,0,6,3000000
İzmir , Buca , Güven Mah.,3,1,163,25,3,2250000
İzmir , Dikili , Kabakum Mah.,3,1,160,25,0,9000000
İzmir , Çiğli , Esentepe Mah.,2,1,100,0,2,4150000
İzmir , Menemen , Emiralem Merkez Mah.,3,1,145,0,0,15750000
İzmir , Konak , Piri Reis Mah.,3,1,110,32,1,4000000
İzmir , Karşıyaka , Alaybey Mah.,3,1,120,40,6,3200000
İzmir , Kemalpaşa , Atatürk Mah.,2,1,72,0,2,3000000
İzmir , Torbalı , Torbalı Mah.,3,1,140,10,5,2850000
İzmir , Çiğli , Evka-5 Mah.,1,1,70,7,6,2390000
İzmir , Bayraklı , Cengizhan Mah.,1,1,75,3,1,2650000
İzmir , Bornova , Ergene Mah.,2,1,70,5,1,2600000
İzmir , Menderes , Barbaros Mah.,2,1,110,4,3,5250000
İzmir , Karşıyaka , Yalı Mah.,2,1,100,14,6,5500000
İzmir , Konak , Mithatpaşa Mah.,3,1,140,48,6,10000000
İzmir , Seferihisar , Hıdırlık Mah.,4,1,200,1,0,13400000
İzmir , Menderes , Gümüldür Fevzi Çakmak Mah.,2,1,110,15,6,3750000
İzmir , Karşıyaka , Mavişehir Mah.,3,1,174,16,1,15500000
İzmir , Narlıdere , Huzur Mah.,3,1,115,35,3,5500000
İzmir , Ödemiş , Hürriyet Mah.,2,1,130,7,2,3950000
İzmir , Selçuk , Zafer Mah.,2,1,110,0,2,4350000
İzmir , Gaziemir , Fatih Mah.,4,1,200,0,2,10960000
İzmir , Çiğli , Atatürk Mah.,4,1,220,5,6,8250000
İzmir , Çiğli , Küçük Çiğli Mah.,3,1,135,0,3,5199000
İzmir , Karşıyaka , Nergiz Mah.,2,1,105,0,5,6250000
İzmir , Karabağlar , Reis Mah.,3,1,125,30,3,3050000
İzmir , Çiğli , İzkent Mah.,3,1,120,30,6,2550000
İzmir , Konak , Kılıç Reis Mah.,3,1,160,0,3,6900000
İzmir , Buca , Adatepe Mah.,2,1,110,0,2,1425000
İzmir , Karşıyaka , Yalı Mah.,3,1,240,22,1,8200000
İzmir , Gaziemir , Gazi Mah.,3,1,160,19,3,6500000
İzmir , Karşıyaka , Bostanlı Mah.,2,1,120,38,2,5300000
İzmir , Karabağlar , Muammer Akar Mah.,3,1,150,31,1,4250000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,2,1,150,12,0,8000000
İzmir , Foça , Fatih Mah.,3,1,165,0,0,12500000
İzmir , Karşıyaka , Dedebaşı Mah.,3,1,150,8,4,8000000
İzmir , Dikili , Gazipaşa Mah.,2,1,85,8,0,5250000
İzmir , Karabağlar , Vatan Mah.,3,1,138,11,-2,3625000
İzmir , Çiğli , Küçük Çiğli Mah.,3,1,105,0,3,4500000
